,V1,V2
514,5,77
515,7,77
516,10,77
517,12,77
518,13,77
519,16,77
520,22,77
521,23,77
522,27,77
523,28,77
524,29,77
525,33,77
526,37,77
527,40,77
528,42,77
529,47,77
530,49,77
531,52,77
532,62,77
533,63,77
534,65,77
535,68,77
536,69,77
537,70,77
538,71,77
539,72,77
540,76,77
541,4,78
542,17,78
543,38,78
544,45,78
545,59,78
546,2,79
547,15,79
548,18,79
549,19,79
550,21,79
551,29,79
552,31,79
553,35,79
554,37,79
555,39,79
556,43,79
557,46,79
558,54,79
559,57,79
560,62,79
561,2,80
562,14,80
563,15,80
564,20,80
565,26,80
566,29,80
567,51,80
568,54,80
569,56,80
570,62,80
571,1,81
572,37,81
573,38,81
574,59,81
575,73,81
576,74,81
577,75,81
