"","from","to","sign"
"399","NIC","PER",1
"400","NIC","USA",1
"401","NIC","URU",1
"402","NKR","KOR",-1
"403","NOR","PRG",1
"404","NOR","RUS",-1
"405","NOR","TUR",1
"406","NOR","GBR",1
"407","IND","PAK",-1
"408","PAK","PHL",1
"409","PAK","RUS",-1
"410","PAK","THA",1
"411","PAK","TUR",1
"412","PAK","GBR",1
"413","PAN","PAR",1
"414","PAN","PER",1
"415","PAN","USA",1
"416","PAN","URU",1
"417","PAR","PER",1
"418","PAR","USA",1
"419","PAR","URU",1
"420","PER","USA",1
"421","PER","URU",1
"422","PHL","RUS",-1
"423","PHL","THA",1
"424","PHL","GBR",1
"425","POL","ROM",1
"426","PRG","ESP",1
"427","PRG","TUR",1
"428","PRG","GBR",1
"429","AFG","RUS",1
"430","BUL","RUS",1
"431","FIN","RUS",1
"432","HUN","RUS",1
"433","MON","RUS",1
"434","POL","RUS",1
"435","ROM","RUS",1
"436","RUS","KOR",-1
"437","RUS","TWN",-1
"438","RUS","TUR",-1
"439","RUS","GBR",-1
"440","SAU","SUD",1
"441","SAU","SYR",1
"442","SAU","TUN",1
"443","ETH","SOM",-1
"444","SUD","SYR",1
"445","SUD","TUN",1
"446","ISR","SYR",-1
"447","SYR","TUN",1
"448","SYR","TUR",-1
"449","SYR","USA",-1
"450","CMB","THA",-1
"451","MYR","THA",-1
"452","THA","GBR",1
"453","CYP","TUR",1
"454","TUR","GBR",1
"455","TUR","USA",1
"456","MYS","GBR",1
"457","GBR","USA",1
"458","ALB","USA",-1
"459","AUS","USA",1
"460","AUT","USA",-1
"461","BEL","USA",1
"462","CAN","USA",1
"463","CHN","USA",-1
"464","CZE","USA",-1
"465","DEN","USA",1
"466","FRA","USA",1
"467","GDR","USA",-1
"468","GFR","USA",1
"469","ICE","USA",1
"470","IRN","USA",1
"471","ITA","USA",1
"472","JPN","USA",1
"473","LUX","USA",1
"474","NDL","USA",1
"475","NZD","USA",1
"476","NKR","USA",-1
"477","NOR","USA",1
"478","PAK","USA",1
"479","PHL","USA",1
"480","PRG","USA",1
"481","RUS","USA",-1
"482","KOR","USA",1
"483","SWZ","USA",-1
"484","TWN","USA",1
"485","THA","USA",1
"486","USA","URU",1
"487","ARG","VZA",1
"488","BOL","VZA",1
"489","BRA","VZA",1
"490","CHL","VZA",1
"491","COL","VZA",1
"492","COS","VZA",1
"493","CUB","VZA",1
"494","DOM","VZA",-1
"495","ECU","VZA",1
"496","ELS","VZA",1
"497","GUA","VZA",1
"498","HAI","VZA",1
"499","HON","VZA",1
"500","MEX","VZA",1
"501","NIC","VZA",1
"502","PAN","VZA",1
"503","PAR","VZA",1
"504","PER","VZA",1
"505","USA","VZA",1
"506","URU","VZA",1
"507","LAO","VTN",-1
"508","RVN","VTN",-1
"509","EGY","YAR",1
"510","IRQ","YAR",1
"511","JOR","YAR",1
"512","LEB","YAR",1
"513","LYB","YAR",1
"514","MOR","YAR",1
"515","SAU","YAR",1
"516","SUD","YAR",1
"517","SYR","YAR",1
"518","TUN","YAR",1
"519","GBR","YAR",-1
"520","GRC","YUG",1
"521","TUR","YUG",1
